,Premise_Code,Premise_Descent
162,706,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'
163,707,GARAGE/CARPORT
164,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMP
165,709,PUBLIC RESTROOM(INDOORS-INSIDE)
166,710,OTHER PREMISE
167,711,"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE"
168,712,COLISEUM
169,713,CONVENTION CENTER
170,714,DODGER STADIUM
171,715,HORSE RACING/SANTA ANITA PARK*
172,716,THEATRE/MOVIE
173,717,HEALTH SPA/GYM
174,718,MASSAGE PARLOR
175,719,MEDICAL/DENTAL OFFICES
176,720,JUNIOR HIGH SCHOOL
177,721,HIGH SCHOOL
178,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY
179,723,PRIVATE SCHOOL/PRESCHOOL
180,724,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*
181,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & "
182,726,POLICE FACILITY
183,727,SHOPPING MALL (COMMON AREA)
184,728,ELEVATOR
185,729,SPECIALTY SCHOOL/OTHER
186,730,SYNAGOGUE/TEMPLE
187,731,MOSQUE*
188,732,POST OFFICE
189,733,BAR/SPORTS BAR (OPEN DAY & NIGHT)
190,735,NIGHT CLUB (OPEN EVENINGS ONLY)
191,736,SKATEBOARD FACILITY/SKATEBOARD PARK*
192,737,SKATING RINK*
193,738,LIBRARY
194,739,SPORTS ARENA
195,740,OTHER PLACE OF WORSHIP
196,741,STAPLES CENTER *
197,742,"SPORTS VENUE, OTHER"
198,743,MASS GATHERING LOCATION
199,744,HIGH-RISE BUILDING
200,745,WATER FACILITY
201,746,SEWAGE FACILITY/PIPE
202,748,CULTURAL SIGNIFICANCE/MONUMENT
203,750,CYBERSPACE
204,751,WEBSITE
205,752,FIRE STATION
206,753,DETENTION/JAIL FACILITY
207,754,MUSEUM
208,755,VETERINARIAN/ANIMAL HOSPITAL
209,756,MUSCLE BEACH
210,757,BASKETBALL COURTS
211,758,HANDBALL COURTS
212,801,MTA BUS
213,802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH
214,803,RETIRED (DUPLICATE) DO NOT USE THIS CODE
215,804,GREYHOUND OR INTERSTATE BUS
216,809,METROLINK TRAIN
217,810,AMTRAK TRAIN
218,811,"OTHER RR TRAIN (UNION PAC, SANTE FE ETC"
219,834,LA UNION STATION (NOT LINE SPECIFIC)
220,835,7TH AND METRO CENTER (NOT LINE SPECIFIC)
221,868,MTA - ORANGE LINE - NORTH HOLLYWOOD
222,869,MTA - ORANGE LINE - LAUREL CANYON
223,870,MTA - ORANGE LINE - VALLEY COLLEGE
224,871,MTA - ORANGE LINE - WOODMAN
225,872,MTA - ORANGE LINE - VAN NUYS
226,873,MTA - ORANGE LINE - SEPULVEDA
227,874,MTA - ORANGE LINE - WOODLEY
228,875,MTA - ORANGE LINE - BALBOA
229,876,MTA - ORANGE LINE - RESEDA
230,877,MTA - ORANGE LINE - TAMPA
231,878,MTA - ORANGE LINE - PIERCE COLLEGE
232,879,MTA - ORANGE LINE - DE SOTO
233,880,MTA - ORANGE LINE - CANOGA
234,882,MTA - ORANGE LINE - SHERMAN WAY
235,883,MTA - ORANGE LINE - ROSCOE
236,884,MTA - ORANGE LINE - NORDHOFF
237,885,MTA - ORANGE LINE - CHATSWORTH
238,889,MTA - SILVER LINE - LAC/USC MEDICAL CENTER
239,890,MTA - SILVER LINE - UNION STATION
240,891,MTA - SILVER LINE - DOWNTOWN STREET STOPS
241,892,MTA - SILVER LINE - 37TH ST/USC
242,893,MTA - SILVER LINE - SLAUSON
243,895,MTA - SILVER LINE - HARBOR FWY
244,896,MTA - SILVER LINE - ROSECRANS
245,897,MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CT
246,898,MTA - SILVER LINE - PACIFIC COAST HWY
247,900,MTA - RED LINE - UNION STATION
248,901,MTA - RED LINE - CIVIC CENTER/GRAND PARK
249,902,MTA - RED LINE - PERSHING SQUARE
250,903,MTA - RED LINE - 7TH AND METRO CENTER
251,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK
252,905,MTA - RED LINE - WILSHIRE/VERMONT
253,906,MTA - RED LINE - VERMONT/BEVERLY
254,907,MTA - RED LINE - VERMONT/SANTA MONICA
255,908,MTA - RED LINE - VERMONT/SUNSET
256,909,MTA - RED LINE - HOLLYWOOD/WESTERN
257,910,MTA - RED LINE - HOLLYWOOD/VINE
258,911,MTA - RED LINE - HOLLYWOOD/HIGHLAND
259,912,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY
260,913,MTA - RED LINE - NORTH HOLLYWOOD
261,915,MTA - PURPLE LINE - UNION STATION
262,916,MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK
263,917,MTA - PURPLE LINE - PERSHING SQUARE
264,918,MTA - PURPLE LINE - 7TH AND METRO CENTER
265,919,MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK
266,920,MTA - PURPLE LINE - WILSHIRE/VERMONT
267,921,MTA - PURPLE LINE - WILSHIRE/NORMANDIE
268,922,MTA - PURPLE LINE - WILSHIRE/WESTERN
269,931,MTA - BLUE LINE - 7TH AND METRO CENTER
270,932,MTA - BLUE LINE - PICO
271,933,MTA - BLUE LINE - GRAND/LATTC
272,934,MTA - BLUE LINE - SAN PEDRO
273,935,MTA - BLUE LINE - WASHINGTON
274,936,MTA - BLUE LINE - VERNON
275,937,MTA - BLUE LINE - 103RD/WATTS TOWERS
276,940,MTA - EXPO LINE - 7TH AND METRO CENTER
277,941,MTA - EXPO LINE - PICO
278,942,MTA - EXPO LINE - LATTC/ORTHO INSTITUTE
279,943,MTA - EXPO LINE - JEFFERSON/USC
280,944,MTA - EXPO LINE - EXPO PARK/USC
281,945,MTA - EXPO LINE - EXPO/VERMONT
282,946,MTA - EXPO LINE - EXPO/WESTERN
283,947,MTA - EXPO LINE - EXPO/CRENSHAW
284,948,MTA - EXPO LINE - FARMDALE
285,949,MTA - EXPO LINE - EXPO/LA BREA
286,950,MTA - EXPO LINE - LA CIENEGA/JEFFERSON
287,951,MTA - EXPO LINE - PALMS
288,952,MTA - EXPO LINE - WESTWOOD/RANCHO PARK
289,953,MTA - EXPO LINE - EXPO/SEPULVEDA
290,954,MTA - EXPO LINE - EXPO/BUNDY
291,956,MTA - GREEN LINE - AVALON
292,957,MTA - GREEN LINE - HARBOR FWY
293,958,MTA - GREEN LINE - AVIATION/LAX
294,961,MTA - GOLD LINE - INDIANA
295,962,MTA - GOLD LINE - SOTO
296,963,MTA - GOLD LINE - MARIACHI PLAZA
297,964,MTA - GOLD LINE - PICO/ALISO
298,965,MTA - GOLD LINE - LITTLE TOKYO/ARTS DISTRICT
299,966,MTA - GOLD LINE - UNION STATION
300,967,MTA - GOLD LINE - CHINATOWN
301,968,MTA - GOLD LINE - LINCOLN/CYPRESS
302,969,MTA - GOLD LINE - HERITAGE SQ
303,970,MTA - GOLD LINE - SOUTHWEST MUSEUM
304,971,MTA - GOLD LINE - HIGHLAND PARK
